"year","month","total","field"
2020,"September",24200,"CHEM"
2020,"September",32359,"COMP"
2020,"September",7159,"DECI"
2020,"September",1656,"DENT"
2020,"September",14768,"EART"
2020,"September",4773,"ECON"
2020,"September",16166,"ENER"
2020,"September",49157,"ENGI"
2020,"September",21143,"ENVI"
2020,"September",3387,"HEAL"
2020,"September",8275,"IMMU"
2020,"September",28974,"MATE"
2020,"September",17747,"MATH"
2020,"September",73238,"MEDI"
2020,"September",6952,"NEUR"
2020,"September",5170,"NURS"
2020,"September",9568,"PHAR"
2020,"September",31791,"PHYS"
2020,"September",6340,"PSYC"
2020,"September",23841,"SOCI"
2020,"September",2343,"VETE"
2020,"September",3746,"MULT"
2020,"October",17503,"AGRI"
2020,"October",6574,"ARTS"
2020,"October",28283,"BIOC"
2020,"October",5153,"BUSI"
2020,"October",14562,"CENG"
2020,"October",23008,"CHEM"
2020,"October",38655,"COMP"
2020,"October",7322,"DECI"
2020,"October",1537,"DENT"
2020,"October",12230,"EART"
2020,"October",3506,"ECON"
2020,"October",15579,"ENER"
2020,"October",53053,"ENGI"
2020,"October",20364,"ENVI"
2020,"October",3369,"HEAL"
2020,"October",7499,"IMMU"
2020,"October",27260,"MATE"
2020,"October",18369,"MATH"
2020,"October",69271,"MEDI"
2020,"October",7171,"NEUR"
2020,"October",4862,"NURS"
2020,"October",10325,"PHAR"
2020,"October",31969,"PHYS"
2020,"October",5507,"PSYC"
2020,"October",21739,"SOCI"
2020,"October",1879,"VETE"
2020,"October",3962,"MULT"
2020,"November",17027,"AGRI"
2020,"November",6437,"ARTS"
2020,"November",26544,"BIOC"
2020,"November",4566,"BUSI"
2020,"November",14075,"CENG"
2020,"November",23686,"CHEM"
2020,"November",32908,"COMP"
2020,"November",6372,"DECI"
2020,"November",1365,"DENT"
2020,"November",12354,"EART"
2020,"November",3180,"ECON"
2020,"November",16782,"ENER"
2020,"November",48095,"ENGI"
2020,"November",19731,"ENVI"
2020,"November",2798,"HEAL"
2020,"November",6928,"IMMU"
2020,"November",27885,"MATE"
2020,"November",19589,"MATH"
2020,"November",61600,"MEDI"
2020,"November",6361,"NEUR"
2020,"November",4494,"NURS"
2020,"November",7382,"PHAR"
2020,"November",33210,"PHYS"
2020,"November",4696,"PSYC"
2020,"November",17708,"SOCI"
2020,"November",2154,"VETE"
2020,"November",3626,"MULT"
2020,"December",24698,"AGRI"
2020,"December",12176,"ARTS"
2020,"December",41854,"BIOC"
2020,"December",6847,"BUSI"
2020,"December",15046,"CENG"
2020,"December",30571,"CHEM"
2020,"December",37880,"COMP"
2020,"December",9451,"DECI"
2020,"December",2066,"DENT"
2020,"December",16803,"EART"
2020,"December",6039,"ECON"
2020,"December",18047,"ENER"
2020,"December",56439,"ENGI"
2020,"December",27028,"ENVI"
2020,"December",3897,"HEAL"
2020,"December",9444,"IMMU"
2020,"December",30693,"MATE"
2020,"December",22589,"MATH"
2020,"December",86187,"MEDI"
2020,"December",8065,"NEUR"
2020,"December",5292,"NURS"
2020,"December",11376,"PHAR"
2020,"December",41728,"PHYS"
2020,"December",6705,"PSYC"
2020,"December",30066,"SOCI"
2020,"December",2382,"VETE"
2020,"December",26755,"MULT"
2021,"January",17616,"AGRI"
2021,"January",10394,"ARTS"
2021,"January",30784,"BIOC"
2021,"January",5516,"BUSI"
2021,"January",15793,"CENG"
2021,"January",26094,"CHEM"
2021,"January",22978,"COMP"
2021,"January",3976,"DECI"
2021,"January",1586,"DENT"
2021,"January",13536,"EART"
2021,"January",4415,"ECON"
2021,"January",11965,"ENER"
2021,"January",41425,"ENGI"
